Year,Artist,Album
1926,Blind Lemon Jefferson,Long Lonesome Blues
1926,Blind Lemon Jefferson,Got The Blues
1927,Blind Lemon Jefferson,Wartime Blues
1927,Blind Willie McTell,Writing Paper Blues
1927,Ma Rainey,Ma Rainey's Black Bottom
1929,Charley Patton,Mississippi Boweavil Blues
1930,Charley Patton,Moon Going Down
1930,Sleepy John Estes,Street Car Blues
1934,Charlie Patton,34 Blues
1935,Sleepy John Estes,Stop That Thing
1935,Sleepy John Estes,Down South Blues
1936,Red Foley,Old Shep
1940,Bukka White,Fixin' To Die Blues
1940,Bukka White,Sleepy Man Blues
1947,Tex Williams,Smoke! Smoke! Smoke! (That Cigarette)
1947,Tex Williams,Smoke! Smoke! Smoke! (That Cigarette)
1950,Percy Mayfield,Please Send Me Someone To Love
1953,Big Mama Thornton with Kansas Bill and his Orchestra,Hound Dog
1953,Georges Brassens,Comme hier
1953,Guitar Slim,The Things That I Used To Do
1953,Percy Faith And His Orchestra,The Song From Moulin Rouge
1954,J. B. Lenoir,I'm in Korea
1955,Toots Thielemans,Sophisticated Lady
1956,B.B. King,Please Love Me
1956,B.B.King,Please Love Me
1956,Cal Tjader,Manuel's Mambo
1956,Eddy Arnold,Molly Darling
1956,Georges Brassens,Auprès De Mon Arbre
1956,Georges Brassens,Colombine
1956,Screamin' Jay Hawkins,I Put a Spell on You
1957,Dells,Why Do You Have to Go
1958,Elizabeth Cotten,Freight Train
1958,Jackie Wilson,If I Can't Have You
1958,Jackie Wilson,I'm Wanderin'
1958,Jackie Wilson,Why Can't You Be Mine
1958,Jackie Wilson,It's So Fine
1958,Little Jr. Parker,Mother-In-Law Blues
1959,Carl Belew,Am I That Easy To Forget
1959,Connie Francis,Baby's First Christmas
1959,Don Gibson,(Prayer Is The Key To Heaven) Faith Unlocks The Door
1959,Don Gibson,Evening Prayer
1959,Jackie Wilson,Each Time (I Love You More)
1959,Johnny Cash,You Tell Me
1959,Johnny Horton,The Battle Of New Orleans
1959,João Gilberto,Manhã de Carnaval (Morning of the Carnaval) (Cantando As Músicas do Film Orfeo do Carnaval)
1959,Mongo Santamaria,Los Conguitos
1960,Brenda Lee,Against My Will (LP Version)
1960,Brenda Lee,Your One And Only (LP Version)
1960,Don Gibson,Release Me
1960,Freddie King,Hide Away
1960,Hank Locklin,Send Me The Pillow You Dream On
1960,Jerry Butler,He Will Break Your Heart
1960,Louis Prima And Keely Smith,I've Got You Under My Skin
1960,The Shirelles,Dedicated To The One I Love
1960,The Shirelles,Will You Love Me Tomorrow
1961,Bob Newhart,Herb Philbrick - Counter Spy ( LP Version )
1961,Faye Adams,My Greatest Desire
1961,Faye Adams,Crazy Mixed Up World
1961,Kai Winding,Mangos
1961,Kai Winding,Doodlin'
1961,Patsy Cline,A Poor Man's Roses
1961,Roy Drusky,Three Hearts In A Tangle
1962,Leroy Van Dyke,If A Woman Answers
1962,Little Eva,The Loco-Motion
1962,Mario Telles,Nanã
1962,The Exciters,Tell Him
1963,Boots Randolph,Lonely Street
1963,Jim Reeves,Jingle Bells
1963,Lesley Gore,It's My Party
1963,Lesley Gore,It's My Party
1963,Major Lance,Come See
1963,Mongo Santamaria,Watermelon Man
1963,Ned Miller,From a Jack To a King
1963,Ned Miller,From A Jack To A King
1963,Skeeter Davis,Foggy Mountain Top
1963,THE CHIFFONS,When Summer's Through
1963,THE CHIFFONS,One Fine Day
1963,THE CHIFFONS,Did You Ever Go Steady
1963,The Impressions,I Found You
1963,The Rolling Stones,Fortune Teller
1963,The Shirelles,Foolish Little Girl
1964,Floyd Cramer,Near You
1964,Herb Alpert And The Tijuana Brass,Adios_ Mi Corazon
1964,Les Hou-Lops,Quand on est amoureux
1964,The Beatles / Tony Sheridan,Ain't She Sweet
1964,The Rolling Stones,Time Is On My Side
1964,The Rolling Stones,Around And Around
1964,The Ronettes,(The Best Part Of) Breakin' Up
1964,The Shangri-Las,Twist and Shout
1964,The Shangri-Las,Bull Dog
1964,The Shangri-Las,Remember (Walkin' In the Sand)
1964,Vince Guaraldi,Room At The Bottom
1964,Vince Guaraldi,Corcovado
1964,Vince Guaraldi Trio,Yesterdays
1965,Fontella Bass,Rescue Me
1965,John Hammond,Big Boss Man
1965,Loretta Lynn,I'd Rather Have Jesus
1965,Righteous Brothers,See That Girl
1965,Sleepy John Estes,Lawyer Clark Blues
1965,Small Faces,What'Cha Gonna Do About It
1965,The Shangri-Las,Out in the Streets
1965,Vinícius de Moraes,Minha Namorada
1966,Chris Farlowe,Paint It Black
1966,Irwin Goodman,Raha ratkaisee
1966,Jerry Goldsmith,Main Title
1966,John Mayall & The Bluesbreakers,All Your Love
1966,Mississippi John Hurt,Coffee Blues
1966,Perrey And Kingsley,Spooks In Space
1966,Sandy Posey,Touch You
1966,Simon & Garfunkel,A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission)
1966,Simon & Garfunkel,Patterns
1966,Small Faces,It's Too Late
1966,Small Faces,My Mind's Eye
1966,The Rolling Stones,Think
1967,Bill Cosby,Wives ( LP Version )
1967,Bobby Hutcherson,Maiden Voyage (Rudy Van Gelder Edition) (2006 Digital Remaster)
1967,Burt Bacharach,Are You There (With Another Girl)
1967,Chris Clark,If You Should Walk Away
1967,Dolly Parton,I'm Not Worth the Tears
1967,Eddy Arnold,Just A Little Lovin' (Will Go A Long Way)
1967,Eddy Arnold,What's He Doin' In My World
1967,Edu Lobo,Canto Triste
1967,Frank Sinatra,Quiet Nights Of Quiet Stars [Corcovado] [The Frank Sinatra Collection]
1967,James Last,Games That Lovers Play
1967,Jerry Reed,Woman Shy
1967,John And The Bluesbreakers Mayall,A Hard Road
1967,Mississippi John Hurt,Monday Morning Blues
1967,Orquestra,Tema Da Desilusão (Garota De Ipanema)
1967,Pink Floyd,Matilda Mother (Stereo) (2007 Remaster)
1967,Small Faces,Itchycoo Park
1967,Sonny James,I'll Never Find Another You
1967,T-Bone Walker,I'm Still In Love With You
1967,The Box Tops,Neon Rainbow
1967,The Box Tops,People Make The World
1967,The Creation,Hey Joe
1967,The Creation,Try And Stop Me
1967,The Doors,Strange Days ( LP Version )
1967,The Harvey Averne Dozen,The Think Drink Theme
1967,The Mystic Moods Orchestra,Gay Ranchero
1967,The Sonics,Love Lights
1967,The Sonics,On The Road Again
1967,The Statler Brothers,Shenandoah
1967,Tommy James And The Shondells,I Like The Way
1968,Albert King,Watermelon Man
1968,Arthur Brown,Child Of My Kingdom
1968,Arthur Brown,Time / Confusion
1968,Bill Cosby,Hold On I'm A Comin' (Album Version)
1968,Bobbie Gentry,Courtyard
1968,Bobbie Gentry,Reunion
1968,Bobbie Gentry,Ace Insurance Man
1968,Earl Hooker,Love Ain't A Play Thing
1968,Glen Campbell And Bobbie Gentry,Mornin' Glory
1968,Groundhogs,Still a Fool
1968,Jacques Dutronc,Transes-Dimanche
1968,Lee Michaels,Fell In Love Today
1968,Louie Ramirez,It's Not What You Say
1968,Perrey And Kingsley,The Minuet Of The Robots
1968,Simon & Garfunkel,Old Friends
1968,Small Faces,Spoken Word / Ogdens' Nut Gone Flake / Spoken Word
1968,Tammy Wynette,Stand By Your Man
1968,Tammy Wynette,I Stayed Long Enough
1968,The Box Tops,I Can Dig It
1968,The Impressions,This Is My Country
1968,The Moody Blues,Tuesday Afternoon
1968,The Velvet Underground,I Heard Her Call My Name
1968,Tiny Tim,Stay Down Here Where You Belong
1969,Albert Ayler,Music Is The Healing Force Of The Universe
1969,Delroy Wilson,Who Cares
1969,Gershon Kingsley,Trumansburg Whistle
1969,Iggy And The Stooges,1969
1969,Jacques Dutronc,Les Femmes Des Autres
1969,Jacques Dutronc,Laquelle Des Deux Est La Plus Snob
1969,Jacques Dutronc,Les Femmes Des Autres
1969,Jacques Dutronc,L'Aventurier
1969,Janis Joplin,Maybe
1969,Jimi Hendrix,Fire
1969,Johnny Cash,A Boy Named Sue
1969,Johnny Winter,Be Careful With A Fool
1969,MC5,Intro 2/ Kick Out The Jams (LP Version)
1969,Spooky Tooth,Evil Woman
1969,Spooky Tooth,Waitin' For The Wind
1969,The Box Tops,Soul Deep
1969,Tommy James & The Shondells,Crimson And Clover
1970,Bobby Valentin,Yo Soy Abacua
1970,Charley Pride,(I'm So) Afraid Of Losing You Again
1970,Crabby Appleton,Go Back
1970,Francis Lai,Search For Jenny
1970,Francis Lai,Concerto No.3 In D: Allegro
1970,Hot Tuna,Death Don't Have No Mercy
1970,Hot Tuna,Hesitation Blues
1970,John Mayall,Don't Waste My Time
1970,Kris Kristofferson,Darby's Castle
1970,Led Zeppelin,Immigrant Song (Album Version)
1970,Leon Russell,Hummingbird
1970,Minnie Riperton,Completeness
1970,Richie Ray & Bobby Cruz,Guaguanco Raro
1970,Spooky Tooth / Mike Harrison,I Am The Walrus
1970,Taste,On The Boards
1970,Ten Years After,Year 3_000 Blues (2002 Digital Remaster)
1970,The Edgar Broughton Band,Aphrodite (1999 Digital Remaster)
1970,The MC5,The American Ruse (LP Version)
1970,Tony Joe White,A Man Can Only Stand Just So Much Pain (Bonus Track)
1970,Young-Holt Unlimited,The Devil Made Me Do Dat (LP Version)
1970,Young-Holt Unlimited,Wichita Lineman (LP Version)
1971,Alice Cooper,Caught In A Dream (Album Version)
1971,Alice Cooper,Be My Lover
1971,Atomic Rooster,The Rock
1971,Baby Huey & The Baby Sitters,California Dreamin' (LP Version)
1971,Dave And Ansel Collins,Two Four One
1971,Dolly Parton,Letter To Heaven
1971,Donny Hathaway,Little Girl (LP Version)
1971,Faces,Stay With Me
1971,Flamin' Groovies,Evil Hearted Ada
1971,Freddie King,Key To The Highway
1971,Freddie King,Five Long Years
1971,Hot Tuna,Candy Man
1971,Janis Joplin,Get It While You Can
1971,Jeff Beck Group,Jody
1971,Julien Clerc,Rolo Le Baroudeur
1971,MC5,Miss X (LP Version)
1971,MC5,Future/Now (LP Version)
1971,The Chieftains,Carolan's Concerto
1971,The Grease Band,Willie And The Pig
1971,The Paul Butterfield Blues Band,Pretty Woman (LP Version)
1971,Uriah Heep,What Should Be Done
1971,Vox Dei,Profecias
1971,Young-Holt Unlimited,We've Only Just Begun (LP Version)
1971,Z.Z. Hill,Faithful and True (Collectors Version)
1971,Z.Z. Hill,It Ain't No Use
1972,Atomic Rooster,Close Your Eyes
1972,Atomic Rooster,Little Bit of Inner Air
1972,Atomic Rooster,Stand By Me
1972,Blind Lemon Jefferson,Gone Dead On You Blues
1972,Cheo Feliciano,Juguete
1972,Free,Heartbreaker
1972,Furry Lewis,Judge Boushay Blues
1972,Hall & Oates,Fall in Philadelphia
1972,Janis Joplin,Piece Of My Heart
1972,Janis Joplin,Down On Me
1972,Jeff Beck Group,Ice Cream Cakes
1972,Johnny Nash,There Are More Questions Than Answers
1972,Michael Jackson,Ain't No Sunshine
1972,Michael Jackson,I Wanna Be Where You Are
1972,Neil Diamond,Song Sung Blue
1972,Neil Diamond,Song Sung Blue
1972,Pink Floyd,The Gold It's In The ... (1996 Digital Remaster)
1972,Terry Callier,Do You Finally Need A Friend
1972,Terry Callier,Occasional Rain
1972,The Chi-Lites,The Coldest Days Of My Life
1972,The Impressions,Need To Belong To Someone
1972,The Rolling Stones,Rocks Off
1972,The Sensational Alex Harvey Band,Framed
1972,Tito Puente,China
1973,Bill Cosby,Fat Albert's Car
1973,Bruce Springsteen,Rosalita (Come Out Tonight)
1973,Bryan Ferry,Don't Worry Baby (1999 Digital Remaster)
1973,Commander Cody & His Lost Planet Airmen,Sister Sue
1973,Eddie Palmieri,No Pienses Asi
1973,Eddie Palmieri,Nada De Ti
1973,Eno,Baby's On Fire
1973,Faces,My Fault (LP Version)
1973,Freddie King,Boogie Man
1973,Jacques Higelin,Quand j'improvise sur mon piano
1973,Jeanne Pruett,Love Me
1973,Jimmy Cliff,Let's Seize The Time
1973,John Cale,Antarctica Starts Here
1973,Michael Jackson,Morning Glow
1973,Nick Ingman,Down Home
1973,Peret,Tócale Las Palmas
1973,Pescado Rabioso,Aguas Claras De Olimpos
1973,Pescado Rabioso,¡Hola_ Pequeño Ser!
1973,Planxty,Follow Me Up To Carlow
1973,Planxty,Junior Crehan's Favourite - Corney Is Coming
1973,Seatrain,Abbeville Fair
1973,Sui Generis,Cuando Ya Me Empiece A Quedar Solo
1973,The Animals_ Sonny Boy Williamson,Bo Diddley
1973,The New York Dolls,Vietnamese Baby
1974,Aerosmith,Lord Of The Thighs
1974,Aerosmith,Same Old Song And Dance
1974,Bad Company,Rock Steady
1974,Bad Company,Rock Steady
1974,Commander Cody And His Lost Planet Airmen,Crying Time
1974,Commander Cody And His Lost Planet Airmen,Riot In Cell Block #9
1974,Commander Cody And His Lost Planet Airmen,Too Much Fun
1974,Eagles,You Never Cry Like A Lover (LP Version)
1974,Johnny Cash,Lonesome To The Bone
1974,Kris Kristofferson,Same Old Song
1974,Leroy Hutson,Ella Weez
1974,Leroy Hutson,Could This Be Love
1974,Lou Reed,Sally Can't Dance
1974,Maria Muldaur,It Ain't The Meat It's The Motion
1974,Minnie Riperton,Lovin' You
1974,Roy Buchanan,Hey Joe
1974,Suzi Quatro,Too Big
1974,The Chi Lites,Toby
1974,The New York Dolls,Human Being
1974,The New York Dolls,Stranded In The Jungle
1974,The New York Dolls,Human Being
1974,Vox Dei,A Nadie Le Interesa Si Quedás Atrás (Total Que...)
1975,Babe Ruth,Dancer (2007 Digital Remaster)
1975,Bad Company,Call On Me
1975,Be Bop Deluxe,Between The Worlds
1975,Be Bop Deluxe,Music In Dreamland
1975,Bob Dylan,Simple Twist Of Fate
1975,Commander Cody And His Lost Planet Airmen,Cajun Baby (LP Version)
1975,Derek Bailey,M 14
1975,Graham Central Station,It's Alright
1975,Jimi Hendrix,Once I Had A Woman
1975,Little Milton,Packed Up And Took My Mind
1975,Michael Jackson,We're Almost There
1975,Michael Jackson,Just A Little Bit Of You
1975,Michael Stanley Band,Lost In The Funhouse Again
1975,Michael Stanley Band,Where Have All The Clowns Gone
1975,Mongo Santamaria,Lady Marmalade
1975,Pierre Perret,Donnez-nous des jardins
1975,Rainbow,Still I'm Sad
1975,Righteous Brothers,Little Latin Lupe Lu
1975,Stanley Clarke,Journey To Love
1975,Sui Generis,Bubulina
1975,Sui Generis,Zapando Con La Gente
1975,The Michael Stanley Band,Waste A Little Time On Me
1975,The Sensational Alex Harvey Band,Delilah
1975,The Who,Slip Kid
1976,Bad Company,Simple Man
1976,Barry Manilow,This One's For You
1976,Billie Jo Spears,What I've Got In Mind
1976,Billie Jo Spears,Misty Blue
1976,Bryan Ferry,2HB (1999 Digital Remaster)
1976,Daryl Hall & John Oates,Rich Girl
1976,"Dave ""Baby"" Cortez",The Happy Organ
1976,Hot Tuna,Extrication Love Song
1976,Jeff Beck,Head For Backstage Pass
1976,John Mayer,Sannyasin
1976,John Sebastian,One Step Forward_ Two Steps Back
1976,Lee Ritenour / Jeff Mironov,A Little Bit Of This And A Little Bit Of That
1976,Leon Russell,Out In The Woods
1976,Modern Lovers,She cracked
1976,The Real Kids,Better Be Good
1977,Adalberto Santiago,Tu Me Desesperas
1977,Alphonse Mouzon,The Ram And The Scorpio
1977,Be Bop Deluxe,Piece Of Mine
1977,Brand X,Collapsar
1977,Brand X,Hate Zone
1977,Burning Spear,It's A Long Way Around
1977,Chelsea,Right To Work
1977,David Bowie,Moss Garden (1999 Digital Remaster)
1977,Dolly Parton,Light Of A Clear Blue Morning
1977,Eddie Money,Two Tickets To Paradise
1977,Foghat,Slow Ride [Live Version]
1977,Fredi,Laula kanssain
1977,Gal Costa,Me Recuso
1977,Irwin Goodman,Terve menoo jätkänretale
1977,Kenny Rogers,The Son Of Hickory Holler's Tramp
1977,Lee Ritenour,Captain Fingers
1977,Marvin Hamlisch,Ride To Atlantis
1977,Marvin Hamlisch,Anya
1977,Mink DeVille,She's So Tough
1977,Richard Hell & The Voidoids,Another World (Album Version)
1977,Sex Pistols,Seventeen
1977,Sex Pistols,Pretty Vacant
1977,Sex Pistols,Looking For A Kiss
1977,Sugar Minott,Try Love
1977,Sugar Minott,Jah Jah Children
1977,The Chieftains,No. 6 The Coombe
1977,The Clash,I'm So Bored With The U.S.A.
1977,The Germs,Forming
1977,The Jam,The Modern World
1977,The Jam,Bricks And Mortar
1977,The Moody Blues,Long Summer Days
1977,The Motors,You Beat The Hell Outta Me
1977,The Motors,Dancing The Night Away
1977,The Real Kids,Just Like Darts
1977,Vangelis,3 + 3
1978,Alternative TV,Nasty Little Lonely
1978,Bob Dylan,New Pony
1978,Buzzcocks,Get On Our Own
1978,Devo,Sloppy (I Saw My Baby Gettin')
1978,Irwin Goodman,Onni
1978,Joy Division,Leaders Of Men
1978,Paul Stanley,Move On
1978,Peter Tosh,Soon Come (2002 Digital Remaster)
1978,Peter Tosh,Stand Firm (2002 Digital Remaster)
1978,Prince,Baby (LP Version)
1978,Rainbow,Rainbow Eyes
1978,Ras Michael and the Sons of Negus,Ethiopian Anthem
1978,Robert Palmer,Love Can Run Faster
1978,Steel Pulse,Ku Klux Klan
1978,The Cortinas,Radio Rape
1978,The Police,So Lonely
1978,Uriah Heep,Falling In Love
1978,Walter Hawkins,Never Alone
1978,Weirdos_ The,I Want What I Want
1978,Whitesnake,Don't Mess With Me (2006 Digital Remaster)
1979,Aerosmith,Reefer Head Woman
1979,April Wine,Say Hello
1979,April Wine,Babes In Arms
1979,Bad Company,Crazy Circles
1979,Bad Company,Take The Time
1979,Bruford,Forever Until Sunday
1979,Chelsea,Decide
1979,Curtis Mayfield,You Better Stop
1979,David Johansen,In Style
1979,Dead Kennedys,The Man with the Dogs
1979,Devo,Soo Bawlz
1979,Floyd Cramer,Stood Up
1979,Gregory Isaacs,Down the Line
1979,Harry Connick_ Jr,Joe Avery's Piece
1979,Irwin Goodman,Kopla ja kummisetä
1979,Johnny Osbourne,We Need Love
1979,Jose Luis Perales,El Amor
1979,Lee Ritenour,Is It You?
1979,Los Chichos,Vuelve Junto A Mi
1979,Off Broadway,Bully Bully (LP Version)
1979,Pat Metheny,Hermitage
1979,Patti Smith Group,Wave
1979,Plasmatics,Sometimes I
1979,Public Image Ltd,The Suit
1979,Richard Lloyd,Number Nine (LP Version)
1979,Rickie Lee Jones,Danny's All-Star Joint (LP Version)
1979,Sugar Minott,Walking Through the Ghetto
1979,Suzi Quatro,Mama's Boy
1979,The Clash,Death Or Glory
1979,The Fabulous Thunderbirds,Let Me In
1979,The In Crowd,Back A Yard
1979,The Last,Century City Rag
1979,The Roches,Mr. Sellack (Album Version)
1979,The Who,Anyway_ Anyhow_ Anywhere
1979,UK Subs,Crash Course
1979,Wailing Souls,Very Well
1980,Al Di Meola,Bianca's Midnight Lullaby
1980,Al Di Meola,Splendido Sundance
1980,Black Flag,Jealous Again
1980,Burning Spear,Civilized Reggae
1980,Buzzcocks,Strange Thing
1980,Circle Jerks,Group Sex
1980,Circle Jerks,Paid Vacation
1980,Curtis Mayfield,People Never Give Up
1980,Dead Kennedys,Kill the Poor
1980,Dexy's Midnight Runners,Seven Days Too Long
1980,Foghat,Dead End Street
1980,Gal Costa,Camisa Amarela
1980,Joy Division,Passover
1980,Light Of The World,Pete's Crusade
1980,Michael Stanley Band,Don't Stop The Music
1980,Michael Stanley Band,He Can't Love you
1980,Mink DeVille,Heaven Stood Still
1980,Neil Diamond,Hey Louise
1980,Plasmatics,Dream Lover
1980,Professor Longhair,Bald Head
1980,Robert Palmer,Looking For Clues
1980,Ronnie Milsap,Why Don't You Spend The Night
1980,The Chieftains,When A Man's In Love
1980,The Clash,Lose This Skin
